type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,combined_features,normalized_title
Movie,An American Girl: McKenna Shoots for the Stars,Vince Marcello,"Jade Pettyjohn, Kerris Dorsey, Nia Vardalos, Ian Ziering, Ysa Penarejo, Cathy Rigby, Kally Berard, Talia Pura, Paula Rivera, George Chiang","United States, Canada","April 2, 2021",2012,TV-Y,94 min,"Children & Family Movies, Comedies, Dramas","a talented young gymnast struggles with her schoolwork and an injury. but with help from her tutor, she gets her confidence back.","a talented young gymnast struggles with her schoolwork and an injury. but with help from her tutor, she gets her confidence back. Jade Pettyjohn, Kerris Dorsey, Nia Vardalos, Ian Ziering, Ysa Penarejo, Cathy Rigby, Kally Berard, Talia Pura, Paula Rivera, George Chiang Vince Marcello",an american girl: mckenna shoots for the stars
Movie,Concrete Cowboy,Ricky Staub,"Idris Elba, Caleb McLaughlin, Jharrel Jerome, Byron Bowers, Lorraine Toussaint, Method Man, Ivannah Mercedes, Jamil Prattis, Liz Priestley","United Kingdom, United States","April 2, 2021",2021,R,112 min,"Dramas, Independent Movies","sent to live with his estranged father for the summer, a rebellious teen finds kinship in a tight-knit philadelphia community of black cowboys.","sent to live with his estranged father for the summer, a rebellious teen finds kinship in a tight-knit philadelphia community of black cowboys. Idris Elba, Caleb McLaughlin, Jharrel Jerome, Byron Bowers, Lorraine Toussaint, Method Man, Ivannah Mercedes, Jamil Prattis, Liz Priestley Ricky Staub",concrete cowboy
Movie,Cross: Rise of the Villains,"Patrick Durham, Paul G. Volk","Brian Austin Green, Vinnie Jones, Lori Heuring, Richard Grieco, Patrick Durham, Tim Abell, Carson Lee Bradshaw, Manu Intiraymi, Danny Trejo",United States,"April 2, 2021",2019,R,100 min,Action & Adventure,"armed with a mighty ancient amulet, a team of weapons experts joins forces to defend los angeles from supervillains with explosive powers of their own.","armed with a mighty ancient amulet, a team of weapons experts joins forces to defend los angeles from supervillains with explosive powers of their own. Brian Austin Green, Vinnie Jones, Lori Heuring, Richard Grieco, Patrick Durham, Tim Abell, Carson Lee Bradshaw, Manu Intiraymi, Danny Trejo Patrick Durham, Paul G. Volk",cross: rise of the villains
Movie,God Calling,BB Sasore,"Zainab Balogun, Karibi Fubara, Diana Egwuatu, Richard Mofe-Damijo, Tina Mba, Onyeka Onwenu, Nkem Owoh, Patrick Diabuah, Ademola Adedoyin, Bikiya Graham Douglas",Nigeria,"April 2, 2021",2018,TV-MA,120 min,"Dramas, Faith & Spirituality, International Movies","the loss of a child plunges sade into a suicidal depression, but her suffering leads to faith – with a little assist from modern technology.","the loss of a child plunges sade into a suicidal depression, but her suffering leads to faith – with a little assist from modern technology. Zainab Balogun, Karibi Fubara, Diana Egwuatu, Richard Mofe-Damijo, Tina Mba, Onyeka Onwenu, Nkem Owoh, Patrick Diabuah, Ademola Adedoyin, Bikiya Graham Douglas BB Sasore",god calling
Movie,Irul,Naseef Yusuf Izuddin,"Fahadh Faasil, Soubin Shahir, Darshana Rajendran",India,"April 2, 2021",2021,TV-MA,91 min,"International Movies, Thrillers","when a car breakdown forces a couple to seek shelter in a nearby home, conversations with the stranger inside soon suggest there’s a killer among them.","when a car breakdown forces a couple to seek shelter in a nearby home, conversations with the stranger inside soon suggest there’s a killer among them. Fahadh Faasil, Soubin Shahir, Darshana Rajendran Naseef Yusuf Izuddin",irul
Movie,Just Say Yes,"Appie Boudellah, Aram van de Rest","Yolanthe Cabau, Noortje Herlaar, Kim-Lian van der Meij, Nienke Plas, Pip Pellens, Jim Bakkum, Huub Smit, Edwin Jonker",Netherlands,"April 2, 2021",2021,TV-MA,98 min,"Comedies, International Movies, Romantic Movies",incurable romantic lotte finds her life upended when her plans for a picture-perfect wedding unravel — just as her self-absorbed sister gets engaged.,"incurable romantic lotte finds her life upended when her plans for a picture-perfect wedding unravel — just as her self-absorbed sister gets engaged. Yolanthe Cabau, Noortje Herlaar, Kim-Lian van der Meij, Nienke Plas, Pip Pellens, Jim Bakkum, Huub Smit, Edwin Jonker Appie Boudellah, Aram van de Rest",just say yes
Movie,Madame Claude,Sylvie Verheyde,"Karole Rocher, Garance Marillier, Roschdy Zem, Pierre Deladonchamps, Liah O'Prey, Paul Hamy, Mylène Jampanoï, Hafsia Herzi, Regina Anikiy, Annabelle Belmondo, Joséphine de La Baume",France,"April 2, 2021",2021,TV-MA,113 min,"Dramas, International Movies","in 1960s paris, madame claude's influence extends beyond the world of sex work — until an affluent young woman threatens to change everything.","in 1960s paris, madame claude's influence extends beyond the world of sex work — until an affluent young woman threatens to change everything. Karole Rocher, Garance Marillier, Roschdy Zem, Pierre Deladonchamps, Liah O'Prey, Paul Hamy, Mylène Jampanoï, Hafsia Herzi, Regina Anikiy, Annabelle Belmondo, Joséphine de La Baume Sylvie Verheyde",madame claude
Movie,Wild Child,Nick Moore,"Emma Roberts, Kimberley Nixon, Juno Temple, Linzey Cocker, Sophie Wu, Alex Pettyfer, Georgia King, Natasha Richardson, Aidan Quinn, Lexi Ainsworth","United States, United Kingdom, France","April 2, 2021",2008,PG-13,98 min,"Comedies, Romantic Movies","accustomed to getting her way, a wealthy teenage girl from los angeles is sent to a strict boarding school in england to clean up her act.","accustomed to getting her way, a wealthy teenage girl from los angeles is sent to a strict boarding school in england to clean up her act. Emma Roberts, Kimberley Nixon, Juno Temple, Linzey Cocker, Sophie Wu, Alex Pettyfer, Georgia King, Natasha Richardson, Aidan Quinn, Lexi Ainsworth Nick Moore",wild child
Movie,Woody Woodpecker,Alex Zamm,"Timothy Omundson, Thaila Ayala, Eric Bauza, Graham Verchere, Jordana Largy, Scott McNeil, Adrian Glynn McMorran, Chelsea Miller, Sean Tyson",United States,"April 2, 2021",2017,PG,91 min,"Children & Family Movies, Comedies",a rascally bird with a distinctive laugh pecks back with a vengeance when his forest habitat is threatened by a slick lawyer building his dream home.,"a rascally bird with a distinctive laugh pecks back with a vengeance when his forest habitat is threatened by a slick lawyer building his dream home. Timothy Omundson, Thaila Ayala, Eric Bauza, Graham Verchere, Jordana Largy, Scott McNeil, Adrian Glynn McMorran, Chelsea Miller, Sean Tyson Alex Zamm",woody woodpecker
Movie,2012,Roland Emmerich,"John Cusack, Amanda Peet, Chiwetel Ejiofor, Thandie Newton, Oliver Platt, Tom McCarthy, Woody Harrelson, Danny Glover, Liam James, Morgan Lily",United States,"April 1, 2021",2009,PG-13,158 min,"Action & Adventure, Sci-Fi & Fantasy","when a flood of natural disasters begins to destroy the world, a divorced dad desperately tries to save his family by outrunning the cataclysmic chaos.","when a flood of natural disasters begins to destroy the world, a divorced dad desperately tries to save his family by outrunning the cataclysmic chaos. John Cusack, Amanda Peet, Chiwetel Ejiofor, Thandie Newton, Oliver Platt, Tom McCarthy, Woody Harrelson, Danny Glover, Liam James, Morgan Lily Roland Emmerich",2012
Movie,3 Idiots,Rajkumar Hirani,"Aamir Khan, Kareena Kapoor, Madhavan, Sharman Joshi, Omi Vaidya, Boman Irani, Mona Singh, Javed Jaffrey",India,"April 1, 2021",2009,PG-13,164 min,"Comedies, Dramas, International Movies","while attending one of india's premier colleges, three miserable engineering students and best friends struggle to beat the school's draconian system.","while attending one of india's premier colleges, three miserable engineering students and best friends struggle to beat the school's draconian system. Aamir Khan, Kareena Kapoor, Madhavan, Sharman Joshi, Omi Vaidya, Boman Irani, Mona Singh, Javed Jaffrey Rajkumar Hirani",3 idiots
Movie,Ferrari Ki Sawaari,Rajesh Mapuskar,"Sharman Joshi, Boman Irani, Ritwik Sahore, Paresh Rawal, Deepak Shirke, Satyadeep Misra, Aakash Dabhade, Nilesh Diwekar, Vidya Balan",India,"April 1, 2021",2012,TV-PG,133 min,"Comedies, International Movies, Sports Movies",a father winds up involved with a stolen ferrari as he tries to acquire the money to send his son to the leading cricket academy.,"a father winds up involved with a stolen ferrari as he tries to acquire the money to send his son to the leading cricket academy. Sharman Joshi, Boman Irani, Ritwik Sahore, Paresh Rawal, Deepak Shirke, Satyadeep Misra, Aakash Dabhade, Nilesh Diwekar, Vidya Balan Rajesh Mapuskar",ferrari ki sawaari
Movie,Insidious,James Wan,"Patrick Wilson, Rose Byrne, Lin Shaye, Ty Simpkins, Barbara Hershey, Leigh Whannell, Angus Sampson, Andrew Astor, Joseph Bishara","United States, Canada","April 1, 2021",2010,PG-13,103 min,"Horror Movies, Thrillers","a family moves into a new home, where their son falls into a coma and eerie events begin to reveal something far more sinister is lurking in the house.","a family moves into a new home, where their son falls into a coma and eerie events begin to reveal something far more sinister is lurking in the house. Patrick Wilson, Rose Byrne, Lin Shaye, Ty Simpkins, Barbara Hershey, Leigh Whannell, Angus Sampson, Andrew Astor, Joseph Bishara James Wan",insidious
Movie,Into the Grizzly Maze,David Hackl,"James Marsden, Thomas Jane, Billy Bob Thornton, Piper Perabo, Scott Glenn, Michaela McManus, Adam Beach, Kelly Curran","United States, Canada","April 1, 2021",2015,R,90 min,"Action & Adventure, Horror Movies",estranged brothers beckett and rowan reunite in the alaskan wild to confront a savage grizzly bear wreaking havoc on their hometown.,"estranged brothers beckett and rowan reunite in the alaskan wild to confront a savage grizzly bear wreaking havoc on their hometown. James Marsden, Thomas Jane, Billy Bob Thornton, Piper Perabo, Scott Glenn, Michaela McManus, Adam Beach, Kelly Curran David Hackl",into the grizzly maze
Movie,Kingsglaive: Final Fantasy XV,Takeshi Nozue,"Aaron Paul, Lena Headey, Sean Bean, Adrian Bouchet, Liam Mulvey, Alexa Kahn, Todd Haberkorn, John DeMita, David Gant, Darin De Paul","Japan, United States","April 1, 2021",2016,PG-13,116 min,"Action & Adventure, Sci-Fi & Fantasy",king regis of lucis orders his kingsglaive warriors to stop the army of niflheim before it invades and steals the crystal that gives lucis its power.,"king regis of lucis orders his kingsglaive warriors to stop the army of niflheim before it invades and steals the crystal that gives lucis its power. Aaron Paul, Lena Headey, Sean Bean, Adrian Bouchet, Liam Mulvey, Alexa Kahn, Todd Haberkorn, John DeMita, David Gant, Darin De Paul Takeshi Nozue",kingsglaive: final fantasy xv
Movie,Legally Blonde,Robert Luketic,"Reese Witherspoon, Luke Wilson, Selma Blair, Matthew Davis, Victor Garber, Jennifer Coolidge",United States,"April 1, 2021",2001,PG-13,96 min,"Comedies, Romantic Movies","when dazzling l.a. sorority girl elle woods gets dumped by her snobby boyfriend, she decides to win him back by following him to harvard law school.","when dazzling l.a. sorority girl elle woods gets dumped by her snobby boyfriend, she decides to win him back by following him to harvard law school. Reese Witherspoon, Luke Wilson, Selma Blair, Matthew Davis, Victor Garber, Jennifer Coolidge Robert Luketic",legally blonde
Movie,Madam Chief Minister,Subhash Kapoor,"Richa Chadda, Saurabh Shukla, Manav Kaul, Shubrajyoti Barat, Akshay Oberoi, Boloram Das, Nikhil Vijay, Raviza Chauhan",India,"April 1, 2021",2020,TV-14,121 min,"Dramas, International Movies","rising from disadvantage to become a state leader, a tenacious politician learns that with great power comes great responsibility, ruthlessness and risk.","rising from disadvantage to become a state leader, a tenacious politician learns that with great power comes great responsibility, ruthlessness and risk. Richa Chadda, Saurabh Shukla, Manav Kaul, Shubrajyoti Barat, Akshay Oberoi, Boloram Das, Nikhil Vijay, Raviza Chauhan Subhash Kapoor",madam chief minister
Movie,Maximum Risk,Ringo Lam,"Jean-Claude Van Damme, Natasha Henstridge, Jean-Hugues Anglade, Zach Grenier, Paul Ben-Victor, Frank Senger, Stéphane Audran",United States,"April 1, 2021",1996,R,101 min,Action & Adventure,"after discovering he's a twin when a look-alike turns up dead, a french cop assumes his brother's identity to uncover the truth and seek vengeance.","after discovering he's a twin when a look-alike turns up dead, a french cop assumes his brother's identity to uncover the truth and seek vengeance. Jean-Claude Van Damme, Natasha Henstridge, Jean-Hugues Anglade, Zach Grenier, Paul Ben-Victor, Frank Senger, Stéphane Audran Ringo Lam",maximum risk
Movie,My Fair Lady,George Cukor,"Audrey Hepburn, Rex Harrison, Stanley Holloway, Wilfred Hyde-White, Gladys Cooper, Jeremy Brett, Theodore Bikel, Mona Washbourne, Isobel Elsom, John Holland, Alan Napier, Marni Nixon",United States,"April 1, 2021",1964,G,173 min,"Classic Movies, Music & Musicals","when a cockney flower girl takes elocution lessons from an aloof professor, he decides to introduce her to high society, transforming both their lives.","when a cockney flower girl takes elocution lessons from an aloof professor, he decides to introduce her to high society, transforming both their lives. Audrey Hepburn, Rex Harrison, Stanley Holloway, Wilfred Hyde-White, Gladys Cooper, Jeremy Brett, Theodore Bikel, Mona Washbourne, Isobel Elsom, John Holland, Alan Napier, Marni Nixon George Cukor",my fair lady
Movie,S.W.A.T.: Under Siege,Tony Giglio,"Sam Jaeger, Michael Jai White, Adrianne Palicki, Ty Olsson, Kyra Zagorsky, Olivia Cheng, Lisa Chandler, Monique Ganderton, Matthew Marsden, Chris Gauthier",United States,"April 1, 2021",2017,R,89 min,"Action & Adventure, International Movies","when a s.w.a.t. team takes in a mysterious, high-profile prisoner, international threats unleash a barrage of attacks on their compound to retrieve him.","when a s.w.a.t. team takes in a mysterious, high-profile prisoner, international threats unleash a barrage of attacks on their compound to retrieve him. Sam Jaeger, Michael Jai White, Adrianne Palicki, Ty Olsson, Kyra Zagorsky, Olivia Cheng, Lisa Chandler, Monique Ganderton, Matthew Marsden, Chris Gauthier Tony Giglio",s.w.a.t.: under siege
Movie,Seven Souls in the Skull Castle: Season Bird,Hidenori Inoue,"Sadao Abe, Mirai Moriyama, Taichi Saotome, Yasuko Matsuyuki, Makoto Awane, Tenkyu Fukuda, Yusuke Shoji, Hazuki Shimizu, Zen Kajihara, Narushi Ikeda",,"April 1, 2021",2017,TV-14,182 min,"Action & Adventure, Dramas, International Movies","japan, 1590. wandering samurai band together to take on the lord of skull castle in this “bird” version of the dynamic show performed in a 360º theater.","japan, 1590. wandering samurai band together to take on the lord of skull castle in this “bird” version of the dynamic show performed in a 360º theater. Sadao Abe, Mirai Moriyama, Taichi Saotome, Yasuko Matsuyuki, Makoto Awane, Tenkyu Fukuda, Yusuke Shoji, Hazuki Shimizu, Zen Kajihara, Narushi Ikeda Hidenori Inoue",seven souls in the skull castle: season bird
